Group;Áreas
admin@338;Finance
APT19;Finance, Information
APT38;Finance, Public Administration
APT41;Finance, Information
Carbanak;Finance
Cobalt Group;Finance
Deep Panda;Finance, Public Administration, Information
Equation;Finance, Public Administration, Information
Evilnum;Finance
FIN13;Finance
GCMAN;Finance
Indrik Spider;Finance, Public Administration, Information
menuPass;Finance, Public Administration, Information
OilRig;Finance, Public Administration, Information
Rocke;Finance
Sandworm Team;Finance, Public Administration
TA505;Finance
TeamTNT;Finance
APT12;Public Administration, Information
APT18;Public Administration, Information
Aquatic Panda;Public Administration, Information
Axiom;Public Administration
Cleaver;Public Administration
CURIUM;Public Administration
Dark Caracal;Public Administration, Information
Dragonfly;Public Administration
DragonOK;Public Administration, Information
Ke3change;Public Administration
Lazarus Group;Public Administration, Information
Machete;Public Administration, Information
Mustang Panda;Public Administration
PittyTiger;Public Administration, Information
Poseidon Group;Public Administration, Information
Silent Librarian;Public Administration, Information
SowBug;Public Administration
Turla;Public Administration, Information
Volatile Cedar;Public Administration
APT17;Information
Blue Mockingbird;Information
Elderwood;Information
EXOTIC LILY;Information
GOLD SOUTHFIELD;Information
LAPSUS$;Information
ScatteredSpider;Information
SilverTerrier;Information
Threat Group-1314;Information
Windigo;Information
Wizard Spider;Information
